Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",96.500000,-102.300000,90.000000,top
"J1","BM06B-SRSS-TB_LF__SN_","BM06BSRSSTBLFSN",100.000000,-98.018600,180.000000,top
"MK1","ICS-43434","MIC_ICS-43434",100.000000,-102.000000,180.000000,top
"R1","100k","R_0603_1608Metric",103.500000,-102.300000,90.000000,top
